,available_beds_without_oxygen,hospital_name,amc_available_beds_with_oxygen,district,amc_occupied_beds_without_oxygen,private_occupied_beds_with_oxygen,available_icu_beds_with_ventilator,private_available_icu_beds_without_ventilator,available_icu_beds_without_ventilator,private_occupied_beds_without_oxygen,hospital_address,amc_occupied_beds_with_oxygen,private_available_beds_without_oxygen,private_occupied_icu_beds_without_ventilator,total_beds_with_oxygen,total_beds_without_oxygen,amc_available_beds_without_oxygen,area,total_icu_beds_with_ventilator,pincode,private_occupied_icu_beds_with_ventilator,amc_available_icu_beds_with_ventilator,amc_occupied_icu_beds_without_ventilator,amc_occupied_icu_beds_with_ventilator,available_beds_with_oxygen,amc_available_icu_beds_without_ventilator,private_available_beds_with_oxygen,total_icu_beds_without_ventilator,private_available_icu_beds_with_ventilator,hospital_phone,last_updated_on,hospital_poc_phone,charges,__delete__,hospital_poc_name,hospital_poc_designation,total_beds_allocated_to_covid,state,hospital_category,hospital_poc_email,facility_id,fee_regulated_beds,Notes,available_beds_allocated_to_covid,officer_name,officer_designation,bed_breakup,last_updated_time,last_updated_date
3815,4,CARE HOSPITALS BANJARAHILLS ,,Hyderabad,,,0,,-1,,"Rd Number 1, Prem Nagar, Banjara Hills, Hyderabad, Telangana 500034, India",,,,76,20,,Hyderabad,71,500034,,,,,3,,,-1,,9956069034,1621751946000.0,,,,,,,,,,,,,,,,,12:09:06 PM,23/05/2021
3816,0,CARE HOSPITALS MUSHIRABAD,,Hyderabad,,,9,,-1,,"1-4-908/7/1, Musheerabad Main Rd, near Raja Deluxe Theatre, Musheerabad, Bakaram, Kavadiguda, Hyderabad, Telangana 500020, India",,,,9,0,,Hyderabad,26,500020,,,,,3,,,-1,,9466574429,1621733062000.0,,,,,,,,,,,,,,,,,06:54:22 AM,23/05/2021
3817,0,CARE HOSPITALS- NAMPALLY ,,Hyderabad,,,0,,-1,,"Exhibition Grounds, Road, Chandra Vihar, Old Kattal Mandi, Nampally, Hyderabad, Telangana 500001, India",,,,34,0,,Hyderabad,26,500001,,,,,0,,,-1,,7331126430,1621744875000.0,,,,,,,,,,,,,,,,,10:11:15 AM,23/05/2021
3818,0,C C SHROFF - BARKATPURA,,Hyderabad,,,0,,-1,,,,,,29,0,,Hyderabad,7,,,,,,0,,,-1,,"9948075675, 9052895821",1621753469000.0,,,,,,,,,,,,,,,,,12:34:29 PM,23/05/2021
3819,5,CENTURY HOSPITAL - BANJARA HILLS,,Hyderabad,,,14,,-1,,"Rd Number 12, Bhola Nagar, Banjara Hills, Hyderabad, Telangana 500034, India",,,,34,18,,Hyderabad,39,500034,,,,,21,,,-1,,9989143340,1621751827000.0,,,,,,,,,,,,,,,,,12:07:07 PM,23/05/2021
3820,28,CITI NEURO CENTRE (A UNIT OF HYDERABAD INSTITUTE OF NEURO SCIENCES PVT LTD) ,,Hyderabad,,,0,,-1,,"Rd Number 12, near Shri Jagannath Temple, Venkateswara Colony, Banjara Hills, Hyderabad, Telangana 500034, India",,,,30,30,,Hyderabad,13,500034,,,,,4,,,-1,,9160019361,1621681758000.0,,,,,,,,,,,,,,,,,04:39:18 PM,22/05/2021
3821,8,"CURE REHAB, PHYSIOTHERAPY POST HOSPITALIZATION REHABLITATION ",,Hyderabad,,,0,,-1,,"H.NO: 7-1-22/5,Venkatrambagh,Opp. Lifestyle Lane, beside M.R. Book Center, Leelanagar, Begumpet, Hyderabad, Telangana 500016, India",,,,8,10,,Hyderabad,2,500016,,,,,4,,,-1,,08042784140,1621745086000.0,,,,,,,,,,,,,,,,,10:14:46 AM,23/05/2021
3822,0,DECCAN COLLEGE OF MEDICAL SCIENCES-KANCHANBAGH,,Hyderabad,,,0,,-1,,,,,,0,0,,Hyderabad,25,,,,,,0,,,-1,,--,1621753133000.0,,,,,,,,,,,,,,,,,12:28:53 PM,23/05/2021
3823,20,DHARANI MULTI SPECIALITY HOSPITAL-MEHDIPANAM,,Hyderabad,,,10,,-1,,,,,,10,20,,Hyderabad,10,,,,,,4,,,-1,,9100134141,1621737849000.0,,,,,,,,,,,,,,,,,08:14:09 AM,23/05/2021
3824,6,DR.NOSHINAS  NOBLE HOSPITAL ,,Hyderabad,,,3,,-1,,"Asif Nagar Rd, Feroz Gandhi Nagar, Indira Nagar, Asif Nagar North, Hyderabad, Telangana 500028, India",,,,10,10,,Hyderabad,5,500028,,,,,8,,,-1,,8008123708,1621670803000.0,,,,,,,,,,,,,,,,,01:36:43 PM,22/05/2021
3825,0,DURGABAI DESHMUKH HOSPITAL - VIDYA NAGAR,,Hyderabad,,,0,,-1,,"1-9-27, Osmania University Rd, Vidya Nagar, Adikmet, Hyderabad, Telangana 500044, India",,,,0,7,,Hyderabad,19,500044,,,,,0,,,-1,,--,1621735279000.0,,,,,,,,,,,,,,,,,07:31:19 AM,23/05/2021
3826,4,FOCUS HOSPITAL - CHAMPAPET,,Hyderabad,,,5,,-1,,"Champapet Rd, beside Vijaya Gardens, Dhani Nagar, Saroor Nagar East, Hyderabad, Telangana 500079",,,,5,4,,Hyderabad,8,,,,,,4,,,-1,,040-2407-9955,1621733156000.0,,,,,,,,,,,,,,,,,06:55:56 AM,23/05/2021
3827,0,GLOBAL GLENEAGLES HOSPITAL - HYDERABAD,,Hyderabad,,,0,,-1,,"6-1-1040/1 to 4, Lakdikapul, Hyderabad, Telangana 500004, India",,,,29,12,,Hyderabad,14,500004,,,,,0,,,-1,,9849690680,1621751330000.0,,,,,,,,,,,,,,,,,11:58:50 AM,23/05/2021
3828,13,"GSN HOSPITAL-SR NAGAR,HYDERABAD",,Hyderabad,,,0,,-1,,,,,,12,13,,Hyderabad,0,,,,,,11,,,-1,,9849055293,1621736064000.0,,,,,,,,,,,,,,,,,07:44:24 AM,23/05/2021
3829,7,"HYDERABAD MULTI SPECIALITY HOSPITAL (UNIT OF VVR HOSPITALS PVT. LTD.), ",,Hyderabad,,,1,,-1,,"16-2-674/11, Judges Colony, New Malakpet, Hyderabad, Telangana 500036, India",,,,4,11,,Hyderabad,5,500036,,,,,4,,,-1,,9391012791,1621759055000.0,,,,,,,,,,,,,,,,,02:07:35 PM,23/05/2021
3830,3,HYDERABAD NURSING HOME - BASEERBAGH,,Hyderabad,,,0,,-1,,,,,,25,9,,Hyderabad,15,,,,,,3,,,-1,,8790413535/9490272941,1621734304000.0,,,,,,,,,,,,,,,,,07:15:04 AM,23/05/2021
3831,26,IMAGE HOSPITALS - AMEERPET,,Hyderabad,,,10,,-1,,"Image Hospitals Ln, Nagarjuna Nagar colony, Yella Reddy Guda, Hyderabad, Telangana 500073, India",,,,15,30,,Hyderabad,15,500073,,,,,10,,,-1,,9000007644,1621751516000.0,,,,,,,,,,,,,,,,,12:01:56 PM,23/05/2021
3832,0,"IMTIYAZ HOSPITAL, ",,Hyderabad,,,0,,-1,,,,,,14,0,,Hyderabad,0,,,,,,14,,,-1,,9849066786,1620210792000.0,,,,,,,,,,,,,,,,,04:03:12 PM,05/05/2021
3833,19,INDO - US SUPERSPECIALITY HOSPITAL - AMEERPET,,Hyderabad,,,0,,-1,,"7-1-57/B&C, Shyam Karan Rd, Anandbagh, Ameerpet, Hyderabad, Telangana 500016, India",,,,18,25,,Hyderabad,27,500016,,,,,6,,,-1,,8978480855,1621750629000.0,,,,,,,,,,,,,,,,,11:47:09 AM,23/05/2021
3834,11,INNOVA HOSPITAL - TARNAKA,,Hyderabad,,,17,,-1,,"#12-5-30, White House, Tarnaka - Moula Ali Road, South Lalaguda, Vijayapuri Colony, Tarnaka, Hyderabad, Telangana 500017, India",,,,10,12,,Hyderabad,23,500017,,,,,4,,,-1,,9291525354,1621739019000.0,,,,,,,,,,,,,,,,,08:33:39 AM,23/05/2021
3835,0,INTEGRO HOSPITAL ,,Hyderabad,,,2,,-1,,"12-2-725/2, P& T CO-OP HOUSING SOCIETY, Rethibowli, Mehdipatnam, Hyderabad, Telangana 500008, India",,,,18,0,,Hyderabad,12,500008,,,,,8,,,-1,,8008866323,1621699003000.0,,,,,,,,,,,,,,,,,09:26:43 PM,22/05/2021
3836,4,"KIRLOSKAR HOSPITAL, ",,Hyderabad,,,3,,-1,,,,,,5,20,,Hyderabad,7,,,,,,2,,,-1,,"040-49170222,040-49170308 ",1621751510000.0,,,,,,,,,,,,,,,,,12:01:50 PM,23/05/2021
3837,4,"KRISHNA INSTITUTE OF MEDICAL SCIENCES LTD, SECUNDERABAD",,Hyderabad,,,0,,-1,,"A-5/3, E Mazla Colony, Hashmath Gunj, Subhash Nagar, Badi Chowdi, Kachiguda, Hyderabad, Telangana 500014, India",,,,210,170,,Hyderabad,159,500014,,,,,0,,,-1,,7995888432,1621738855000.0,,,,,,,,,,,,,,,,,08:30:55 AM,23/05/2021
3838,2,LAKSHMI HOSPITAL AND RESEARCH CENTRE_LLP ,,Hyderabad,,,0,,-1,,"3-6-191/1/1, Urdu Hall Lane,. Himayathnagar, AP State Housing Board, Himayatnagar, Hyderabad, Telangana 500029, India",,,,2,2,,Hyderabad,0,500029,,,,,2,,,-1,,9246541363,1621753784000.0,,,,,,,,,,,,,,,,,12:39:44 PM,23/05/2021
3839,2,LOTUS CURE MULTI SPECIALITY HOSPITAL-HYDERABAD ,,Hyderabad,,,1,,-1,,"3-16-668/A, All Saints Road, Dinakar Nagar Colony, Kushalchand Colony, Trimulgherry, Secunderabad, Telangana 500015, India",,,,12,18,,Hyderabad,18,500015,,,,,2,,,-1,,8520041688,1621726993000.0,,,,,,,,,,,,,,,,,05:13:13 AM,23/05/2021
3840,18,LOTUS HOSPITAL FOR WOMEN AND CHILDREN (A UNIT OF SRI VISWA MEDICARE LTD.),,Hyderabad,,,10,,-1,,"D. No: 6-2-29, Lakdikapul Road, P & T Officers Colony, Chintal, Hyderabad, Telangana 500004, India",,,,20,25,,Hyderabad,32,500004,,,,,5,,,-1,,"9849067373, 8919652560",1621679778000.0,,,,,,,,,,,,,,,,,04:06:18 PM,22/05/2021
3841,0,"MAA HOSPITALS PVT LTD, (MAA ENT HOSPITAL) ",,Hyderabad,,,0,,-1,,,,,,4,14,,Hyderabad,6,,,,,,0,,,-1,,"8008886688, 9100033289",1621757672000.0,,,,,,,,,,,,,,,,,01:44:32 PM,23/05/2021
3842,2,MADHAVA NURSING HOME MULTISPECIALITY HOSPITAL - BANJARA HILLS,,Hyderabad,,,6,,-1,,"Rd Number 1, Prem Nagar, Banjara Hills, Hyderabad, Telangana 500034, India",,,,6,6,,Hyderabad,6,500034,,,,,0,,,-1,,9848048914,1621752622000.0,,,,,,,,,,,,,,,,,12:20:22 PM,23/05/2021
3843,0,MAHAVIR HOSPITAL - A C GAURDS,,Hyderabad,,,0,,-1,,"10-1-1, Mahavir Marg, AC Guards, Lakdikapul, Hyderabad, Telangana 500004, India",,,,32,58,,Hyderabad,10,500004,,,,,4,,,-1,,--,1621678601000.0,,,,,,,,,,,,,,,,,03:46:41 PM,22/05/2021
3844,223,MALLAREDDY INSTITUTE OF MEDICAL SCIENCES-HYDERABAD,,Hyderabad,,,1,,-1,,,,,,120,300,,Hyderabad,80,,,,,,36,,,-1,,9849891212,1621748616000.0,,,,,,,,,,,,,,,,,11:13:36 AM,23/05/2021
3845,0,"MATRIKA HOSPITAL, ",,Hyderabad,,,0,,-1,,,,,,0,0,,Hyderabad,0,,,,,,0,,,-1,,"9490214128, 9908949407, 9949777555",1621750952000.0,,,,,,,,,,,,,,,,,11:52:32 AM,23/05/2021
3846,4,"MEDICLINIC MEDICAL CENTRE-CHARKAMAN, HYDERABAD",,Hyderabad,,,0,,-1,,,,,,5,7,,Hyderabad,0,,,,,,2,,,-1,,9849091683 / 6304706063,1621757677000.0,,,,,,,,,,,,,,,,,01:44:37 PM,23/05/2021
3847,1,MEDICOVER HOSPITALS (A UNIT OF SAHRUDAYA HEALTH CARE PVT. LTD.) SECRETARIAT,,Hyderabad,,,0,,-1,,,,,,40,45,,Hyderabad,84,,,,,,0,,,-1,,"8008800233, 9849593231, 7674999567",1621732033000.0,,,,,,,,,,,,,,,,,06:37:13 AM,23/05/2021
3848,2,METRO CURE HOSPITAL - MALAKPET,,Hyderabad,,,2,,-1,,,,,,5,5,,Hyderabad,10,,,,,,0,,,-1,,4024550100,1621739276000.0,,,,,,,,,,,,,,,,,08:37:56 AM,23/05/2021
3849,5,"MOHAMMEDI MEMORIAL HOSPITAL, ",,Hyderabad,,,9,,-1,,"Aspire Mall, Kishan Bagh Rd, beside Bahadurpura, Bahadurpura West, Hyderabad, Telangana 500064, India",,,,5,5,,Hyderabad,10,500064,,,,,4,,,-1,,9849286151,1621756222000.0,,,,,,,,,,,,,,,,,01:20:22 PM,23/05/2021
3850,45,"MYTHRI HOSPITAL, ",,Hyderabad,,,5,,-1,,"Opp. Pillar No. 81, PVNR Expressway, Inner Ring Rd, Om Nagar, Maruthi Nagar, Mehdipatnam, Hyderabad, Telangana 500008, India",,,,10,45,,Hyderabad,25,500008,,,,,10,,,-1,,"9160378092, 8179865282, 9948667886",1621755529000.0,,,,,,,,,,,,,,,,,01:08:49 PM,23/05/2021
3851,12,NATIONAL INSTITUTE OF GASTROENTEROLOGY AND LIVER DISEASES (A UNIT OF TEJASWINI HEALTHCARE SERVICES PVT LTD.) ,,Hyderabad,,,5,,-1,,"plot no, 344A, Rd Number 12, Venkateswara Colony, Banjara Hills, Hyderabad, Telangana 500034, India",,,,13,12,,Hyderabad,15,500034,,,,,1,,,-1,,9849705112,1621744606000.0,,,,,,,,,,,,,,,,,10:06:46 AM,23/05/2021
3852,1,NAVEEN REDDY HOSPITAL-HYDERABAD,,Hyderabad,,,0,,-1,,,,,,1,3,,Hyderabad,9,,,,,,0,,,-1,,88010 71236,1621748661000.0,,,,,,,,,,,,,,,,,11:14:21 AM,23/05/2021
3853,1,NAVJEEVAN HOSPITALS ,,Hyderabad,,,0,,-1,,"Plot No. 90, P&T Colony, Vikrampuri Colony, Karkhana, Hyderabad, Telangana 500009, India",,,,20,10,,Hyderabad,25,500009,,,,,2,,,-1,,9703586000,1621733544000.0,,,,,,,,,,,,,,,,,07:02:24 AM,23/05/2021
3854,7,NAVODAYA HOSPITAL - HYDERABAD,,Hyderabad,,,1,,-1,,"Mashallah Building, Paradise Circle, PG Road, near Paradise Biryani | Secunderabad, Sappu Bagh Apaprtment, Jogani, Ramgopalpet, Secunderabad, Telangana 500003, India",,,,45,27,,Hyderabad,35,500003,,,,,1,,,-1,,8341816161,1621748865000.0,,,,,,,,,,,,,,,,,11:17:45 AM,23/05/2021
3855,5,"NEELIMA HOSPITAL PRIVATE LIMITED, ",,Hyderabad,,,2,,-1,,,,,,34,10,,Hyderabad,10,,,,,,14,,,-1,,"8919630845, 9848233835, 9246160976",1621746276000.0,,,,,,,,,,,,,,,,,10:34:36 AM,23/05/2021
3856,0,NEHA DIAGNOSTICS,,Hyderabad,,,0,,-1,,,,,,30,0,,Hyderabad,12,,,,,,20,,,-1,,9346982268,1620717671000.0,,,,,,,,,,,,,,,,,12:51:11 PM,11/05/2021
3857,15,"New JBI Hospital, Maternity, Surgical & Emergency Care-Tolichowki, Hyderabad",,Hyderabad,,,4,,-1,,,,,,10,15,,Hyderabad,5,,,,,,8,,,-1,,9666611110,1621750808000.0,,,,,,,,,,,,,,,,,11:50:08 AM,23/05/2021
3858,0,NEWLIFE REHABILITATION CENTRE - BANJARA HILLS,,Hyderabad,,,4,,-1,,,,,,36,0,,Hyderabad,10,,,,,,32,,,-1,,7680950686,1621672440000.0,,,,,,,,,,,,,,,,,02:04:00 PM,22/05/2021
3859,0,NICE HOPSITAL FOR WOMEN NEWBORNS & CHILDREN - MASAB TANK,,Hyderabad,,,0,,-1,,,,,,7,0,,Hyderabad,0,,,,,,4,,,-1,,8971569999,1621740782000.0,,,,,,,,,,,,,,,,,09:03:02 AM,23/05/2021
3860,4,"NIKHIL HOSPITAL, AMEERPET",,Hyderabad,,,8,,-1,,"Nikhil Hospitals, Srinagar Colony Main Rd, SBH Colony, Ameerpet, Hyderabad, Telangana 500073, India",,,,7,6,,Hyderabad,20,500073,,,,,4,,,-1,,9866966778,1621758226000.0,,,,,,,,,,,,,,,,,01:53:46 PM,23/05/2021
3861,0,NIKHIL HOSPITAL - DILSUKNAGAR,,Hyderabad,,,3,,-1,,"Gaddi Annaram Cross Road, Dilsukh Nagar Main Rd, Dilsukhnagar, Hyderabad, Telangana 500036, India",,,,8,0,,Hyderabad,12,500036,,,,,6,,,-1,,8519993543,1621749100000.0,,,,,,,,,,,,,,,,,11:21:40 AM,23/05/2021
3862,0,NOVA ENT HOSPITAL-HYDERABAD,,Hyderabad,,,0,,-1,,,,,,18,0,,Hyderabad,0,,,,,,12,,,-1,,9391711122,1621653255000.0,,,,,,,,,,,,,,,,,08:44:15 AM,22/05/2021
3863,0,OLIVE HOSPITAL,,Hyderabad,,,0,,-1,,,,,,56,4,,Hyderabad,18,,,,,,0,,,-1,,9666919293,1621762095000.0,,,,,,,,,,,,,,,,,02:58:15 PM,23/05/2021
3864,3,OMEGAHOSPITALS,,Hyderabad,,,0,,-1,,"L/276A, Rd Number 12, MLA Colony, Banjara Hills, Hyderabad, Telangana 500034, India",,,,15,23,,Hyderabad,2,500034,,,,,1,,,-1,,9848011421,1621675443000.0,,,,,,,,,,,,,,,,,02:54:03 PM,22/05/2021
3865,43,ONUS HOSPITAL ,,Hyderabad,,,0,,-1,,"beside Lucky Bawarchi Hotel, Bhanu Nagar Colony, Malla Reddy Nagar, Saroor Nagar East, Champapet, Telangana 500079, India",,,,0,50,,Hyderabad,1,500079,,,,,0,,,-1,,9502792322,1621741114000.0,,,,,,,,,,,,,,,,,09:08:34 AM,23/05/2021
3866,4,PADMAVATHI  MEDICAL CENTRE ,,Hyderabad,,,2,,-1,,"2-3-512/11/12, Chenna Reddy Nagar, Amberpet, beside Padmavathi Nursing Home, Chenna Reddy Nagar, Amberpet, Hyderabad, Telangana 500013, India",,,,4,7,,Hyderabad,4,500013,,,,,2,,,-1,,9160668686,1621752847000.0,,,,,,,,,,,,,,,,,12:24:07 PM,23/05/2021
3867,4,PHYSIO REHAB CARE HEALTH AND WELLNESS CENTRE ,,Hyderabad,,,5,,-1,,"H.no:16-8Wadi e Huda, Pahadi Shareef Rd, opp. to Indian bank, Rajendra Nagar, Quba Colony, Chandrayangutta, Hyderabad, Telangana 500005, India",,,,5,5,,Hyderabad,7,500005,,,,,2,,,-1,,9963678314,1621753189000.0,,,,,,,,,,,,,,,,,12:29:49 PM,23/05/2021
3868,15,PRAJA SAI HOSPITAL,,Hyderabad,,,10,,-1,,"1-10-189, RTC Cross Road, SBH Colony, Praja Sai Hospital, Ashok Nagar, P & T Colony, Ashok Nagar, Himayatnagar, Hyderabad, Telangana 500020, India",,,,20,20,,Hyderabad,10,500020,,,,,16,,,-1,,9100059777,1621741981000.0,,,,,,,,,,,,,,,,,09:23:01 AM,23/05/2021
3869,0,"PRATHIMA HOSPITALS, KACHIGUDA",,Hyderabad,,,6,,-1,,,,,,46,0,,Hyderabad,24,,,,,,28,,,-1,,9959361880/9703990177,1621741455000.0,,,,,,,,,,,,,,,,,09:14:15 AM,23/05/2021
3870,0,PREMIER HOSPITAL,,Hyderabad,,,1,,-1,,"12-2-718, Khader Bagh Rd, Padmanabha Nagar, Toli Chowki, Hyderabad, Telangana 500008, India",,,,53,0,,Hyderabad,19,500008,,,,,28,,,-1,,9848034747,1621753876000.0,,,,,,,,,,,,,,,,,12:41:16 PM,23/05/2021
3871,0,PRINCESS ESRA HOSPITAL - SHALIBANDA,,Hyderabad,,,0,,-1,,,,,,20,10,,Hyderabad,70,,,,,,0,,,-1,,994967129/8686063153,1621758628000.0,,,,,,,,,,,,,,,,,02:00:28 PM,23/05/2021
3872,3,PULSE HOSPITAL - PADMARAO NAGAR,,Hyderabad,,,0,,-1,,"6-1, 103/1, CRPF Rd, Abhinav Colony, Walker Town, Padmarao Nagar, Secunderabad, Telangana 500025, India",,,,10,7,,Hyderabad,8,500025,,,,,2,,,-1,,8341816161,1621742461000.0,,,,,,,,,,,,,,,,,09:31:01 AM,23/05/2021
3873,0,RAGHAVENDRA HOSPITALS (A UNIT OF SKHC PVT LTD) ,,Hyderabad,,,0,,-1,,,,,,3,0,,Hyderabad,4,,,,,,0,,,-1,,9396810101,1621746686000.0,,,,,,,,,,,,,,,,,10:41:26 AM,23/05/2021
3874,0,RAINBOW CHILDREN HOSPITAL BANJARA HILLS ,,Hyderabad,,,0,,-1,,"Road No. 2, near Hotel Park Hyatt, Sri Nagar Colony, Kamalapuri Colony, Banjara Hills, Hyderabad, Telangana 500034, India",,,,10,0,,Hyderabad,3,500034,,,,,9,,,-1,,9959115050,1621758084000.0,,,,,,,,,,,,,,,,,01:51:24 PM,23/05/2021
3875,4,RAINBOW CHILDRENS HEART INSTITUTE (A UNIT OF RAINBOW SPECIALITY HOSPITALS PVT LTD.) ,,Hyderabad,,,0,,-1,,,,,,37,5,,Hyderabad,17,,,,,,15,,,-1,,9959115050,1621760761000.0,,,,,,,,,,,,,,,,,02:36:01 PM,23/05/2021
3876,0,"RAINBOW CHILDRENS MEDICARE PVT LTD VIKRAMPURI,SECUNDRABAD",,Hyderabad,,,2,,-1,,,,,,24,0,,Hyderabad,7,,,,,,7,,,-1,,9849041198,1621751680000.0,,,,,,,,,,,,,,,,,12:04:40 PM,23/05/2021
3877,5,RAVI HELIOS HOSPITAL - INDIRA PARK,,Hyderabad,,,5,,-1,,"3-6-210, Himayat Nagar Rd, Valmiki Nagar, Domalguda, Himayatnagar, Hyderabad, Telangana 500029, India",,,,6,6,,Hyderabad,8,500029,,,,,3,,,-1,,9849084566,1621740287000.0,,,,,,,,,,,,,,,,,08:54:47 AM,23/05/2021
3878,1,RENEW MEDICAL & REHABILITATION CENTRE - BEGUMPET,,Hyderabad,,,2,,-1,,"1-11-240/2/A, opposite Pearl Apartments, near Babai Tiffins, Begumpet, Hyderabad, Telangana 500016, India",,,,6,2,,Hyderabad,2,500016,,,,,5,,,-1,,9963471103,1621752862000.0,,,,,,,,,,,,,,,,,12:24:22 PM,23/05/2021
3879,11,RENOVO HOSPITAL - LANGER HOUSE,,Hyderabad,,,0,,-1,,"Langar House Rd, opposite Bapu Ghat, Bapu Nagar, Langar Houz, Hyderabad, Telangana 500008, India",,,,23,28,,Hyderabad,12,500008,,,,,7,,,-1,,9989143340,1621752984000.0,,,,,,,,,,,,,,,,,12:26:24 PM,23/05/2021
3880,2,RUSH SUPERSPECIALITY HOSPITAL,,Hyderabad,,,6,,-1,,"H.no-2-181/2/C, Suchitra Circle,NH-44, Ramraj Nagar, Ramraju Nagar, Jeedimetla, Hyderabad, Telangana 500067, India",,,,0,5,,Hyderabad,15,500067,,,,,0,,,-1,,8886611109,1621736161000.0,,,,,,,,,,,,,,,,,07:46:01 AM,23/05/2021
3881,13,SAFE KIDS HOSPITAL - KARWAN,,Hyderabad,,,12,,-1,,,,,,7,17,,Hyderabad,16,,,,,,2,,,-1,,"8247230849, 9949019903",1621743784000.0,,,,,,,,,,,,,,,,,09:53:04 AM,23/05/2021
3882,20,"Sagarlal Memorial Hospital and Matadin Goel Research Centre,multi Speiality Hospital-Musheerabad, Hyderabad",,Hyderabad,,,5,,-1,,,,,,20,20,,Hyderabad,5,,,,,,20,,,-1,,"9848069089,  9849246878",1621754975000.0,,,,,,,,,,,,,,,,,12:59:35 PM,23/05/2021
3883,10,SAI NURSING HOME - SAIDABAD MAIN ROAD,,Hyderabad,,,11,,-1,,,,,,20,10,,Hyderabad,15,,,,,,16,,,-1,,9989179309,1621746753000.0,,,,,,,,,,,,,,,,,10:42:33 AM,23/05/2021
3884,3,SAI VANI HOSPITAL - INDIRA PARK,,Hyderabad,,,0,,-1,,"1-2-365/36/6&7, Ramakrishna Mutt Road, Opposite, Indira Park Rd, Valmiki Nagar, Domalguda, Himayatnagar, Hyderabad, Telangana 500029, India",,,,10,10,,Hyderabad,8,500029,,,,,0,,,-1,,9866458511,1621653433000.0,,,,,,,,,,,,,,,,,08:47:13 AM,22/05/2021
3885,3,"SAMEENA MATERNITY & NURSING HOME -BANDLAGUDA, HYDERABAD",,Hyderabad,,,4,,-1,,,,,,6,10,,Hyderabad,4,,,,,,1,,,-1,,9160186681,1621748535000.0,,,,,,,,,,,,,,,,,11:12:15 AM,23/05/2021
3886,0,SAMEER HOSPITAL.,,Hyderabad,,,0,,-1,,"12, Asif Nagar Rd, Sri Ram Nagar Colony, MIGH Colony, Humayun Nagar, Hyderabad, Telangana 500028, India",,,,12,12,,Hyderabad,14,500028,,,,,0,,,-1,,9177373017,1621685326000.0,,,,,,,,,,,,,,,,,05:38:46 PM,22/05/2021
3887,5,SEASONS HOSPITAL - BAGH AMBERPET,,Hyderabad,,,0,,-1,,"2-2-/109/5/B/5/1, Bagh Amberpet, Amberpet, Hyderabad, Telangana 500013, India",,,,6,8,,Hyderabad,7,500013,,,,,0,,,-1,,9490627117,1621744982000.0,,,,,,,,,,,,,,,,,10:13:02 AM,23/05/2021
3888,0,SHALINI HOSPITAL BARKATPURA,,Hyderabad,,,2,,-1,,"3-4-140, Barkatpura, Kachiguda, Hyderabad, Telangana 500027, India",,,,40,0,,Hyderabad,10,500027,,,,,5,,,-1,,8341816161,1621738897000.0,,,,,,,,,,,,,,,,,08:31:37 AM,23/05/2021
3889,2,SHALIVAHANA MULTI SPECIALITY HOSPITAL-HYDERABAD,,Hyderabad,,,1,,-1,,,,,,8,5,,Hyderabad,9,,,,,,3,,,-1,,9246887077,1621744058000.0,,,,,,,,,,,,,,,,,09:57:38 AM,23/05/2021
3890,4,SHANTILAL NAVODAYA MULTISPECIALITY HOSPITAL ,,Hyderabad,,,0,,-1,,"2-2-647/25/1, Shivam Rd, Central Excise Colony, Sukh Vihar, Bagh Amberpet, Amberpet, Hyderabad, Telangana 500013, India",,,,4,5,,Hyderabad,0,500013,,,,,4,,,-1,,8341816161,1621746394000.0,,,,,,,,,,,,,,,,,10:36:34 AM,23/05/2021
3891,4,"SHRAVANA MULTI SPECIALITY HOSPITAL-MOZAMJAHI MARKET, HYDERABAD",,Hyderabad,,,2,,-1,,,,,,20,4,,Hyderabad,14,,,,,,10,,,-1,,8341816161,1621738965000.0,,,,,,,,,,,,,,,,,08:32:45 AM,23/05/2021
3892,6,SKS NEURO HOSPITAL - KACHIGUDA,,Hyderabad,,,8,,-1,,"Kachiguda Station Rd, Barkatpura, Kachiguda, Hyderabad, Telangana 500027, India",,,,15,10,,Hyderabad,12,500027,,,,,4,,,-1,,9848629407,1621749966000.0,,,,,,,,,,,,,,,,,11:36:06 AM,23/05/2021
3893,4,"SOWMYA CHILDRENS HOSPITAL, ",,Hyderabad,,,0,,-1,,,,,,6,4,,Hyderabad,10,,,,,,2,,,-1,,9182107656,1621737056000.0,,,,,,,,,,,,,,,,,08:00:56 AM,23/05/2021
3894,10,SREESTA KAMALA HOSPITAL - DILSUKNAGAR,,Hyderabad,,,8,,-1,,"11-11-739/1&2, NH65, Dilsukhnagar, Hyderabad, Telangana 500060, India",,,,18,10,,Hyderabad,17,500060,,,,,9,,,-1,,9032771234,1621742807000.0,,,,,,,,,,,,,,,,,09:36:47 AM,23/05/2021
3895,4,SRIKARA HOSPITAL - SECUNDERABAD,,Hyderabad,,,0,,-1,,"St. Johns Road, Opposite Railway Reservation Counter Lane, beside Ramakrishna Hotel, Railway Colony, Chilakalguda, Secunderabad, Telangana 500025, India",,,,26,14,,Hyderabad,24,500025,,,,,0,,,-1,,9848097591,1621647799000.0,,,,,,,,,,,,,,,,,07:13:19 AM,22/05/2021
